,Record_ID,Data_Type,Formulation_ID,Formulation_Name,Chemical_Name,CASRN,DTXSID,Percent_Active_Ingredient,Concentration,Concentration_Units,Mixture,Species,Reported_Strain,Strain,Sex,Assay,Endpoint,Response,Response_Unit,Reference,SMILES,Preferred_Name,Synonyms,URL_CompTox,URL_CEBS,label
1859,skin_irritation_invivo_8,In Vivo,,,Ethylenediamine tetraacetic acid disodium salt,139-33-3,DTXSID9027073,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].[Na+].OC(=O)CN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O,"Ethylenediaminetetraacetic acid, disodium salt","139-33-3|Ethylenediaminetetraacetic acid, disodium salt|(Ethylenedinitrilo)-tetraacetic acid disodium salt|(ethylenedinitrilo)tetraacetic acid disodium salt|Acetic acid, (ethylenedinitrilo)tetra-, disodium salt|AETHYLENDIAMIN-TETRAESSIGSAEURE-DI-NA-SALZ|CBC 50152966|Cheladrate|Chelaplex|Chelaplex III|Chelaton III|Chelest 200|Chelest 2BS|Chelest B|Clewat N|Complexon III|dihidrogenoetilendiaminotetraacetato de disodio|dihydrogenoethylenediaminetetraacetate de disodium|Dinatrium ethylendiamintetraacetat|Dinatriumdihydrogenethylendiamintetraacetat|Diso-Tate|Disodium (ethylenedinitrilo)tetraacetate|Disodium (ethylenedinitrilo)tetraacetic acid|Disodium diacid ethylenediaminetetraacetate|disodium dihydrogen ethylenediaminetetraacetate|Disodium dihydrogen(ethylenedinitrilo)tetraacetate|Disodium edathamil|Disodium edetate|disodium edetate (anh.)|disodium edetate (anhydrous)|Disodium EDTA|disodium EDTA (anh.)|disodium EDTA (anhydrous)|Disodium edta, anhydrous|Disodium ethylenediamine tetraacetate|Disodium ethylenediamine-N,N,N',N'-tetraacetate|DISODIUM ETHYLENEDIAMINETETRAA|104244-09-9|1236140-51-4|1892-64-4|37341-71-2|42615-28-1|69772-70-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID9027073,,0
1861,skin_irritation_invivo_39,In Vivo,,,Isopropyl palmitate,142-91-6,DTXSID9027104,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCCCC(=O)OC(C)C,"Hexadecanoic acid, 1-methylethyl ester","142-91-6|Hexadecanoic acid, 1-methylethyl ester|1-Methylethyl ester1-methylethyl hexandecanoate|1-Methylethyl hexadecanoate|2-Propyl hexadecanoate|4-02-00-01167|BRN 1786567|Crodamol IPP|Deltyl|Deltyl Prime|EINECS 205-571-1|Emcol IP|Emcol-ip|Emerest 2316|Estol 103|Exceparl IPP|Hexadecanoic acid 1-methylethyl ester|Hexadecanoic acid isopropyl ester|Hexadecanoic acid, 1-methyethyl ester|Hexadecanoic acid, isopropyl ester|Hexadecanoic acidisopropyl N-hexadecanoate|ISO-PROPYL PALMITATE|Isopal|Isopalm|Isopropyl ester of hexadecanoic acid|Isopropyl hexadecanoate|isopropyl n-hexadecanoate|isopropyl palmitate|Isopropyl palmitate (NF)|Isopropylpalmitat|Ja-fa ipp|Ja-fa ippkessco|Kessco IPP|Kessco isopropyl palmitate|Lexol IPP|Liponate ipp|Neoderm IPP|Nikkol IPP|NSC 69169|Palmitate d'isopropyle|PALMITATE, ISOPROPYL|palmitato de isopropilo|Palmitic acid esters|palmitic acid isopropyl ester|Palmitic acid, isopropyl ester|PALMITINSAEURE-ISOPROPYLESTER|Palmsurf IPP 98|Plymouth IPP|Propal|Sinnoester PIT|Starfol ipp|Stepan D 70|Stepan D-70|Stepan IPP|Tegester isopalm|Tegoso",https://comptox.epa.gov/dashboard/chemical/details/DTXSID9027104,,0
81,skin_irritation_invivo_84,In Vivo,,,"1,2-Propylene glycol",57-55-6,DTXSID0021206,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,6.25,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(O)CO,"1,2-Propylene glycol","57-55-6|1,2-Propylene glycol|(.+-.)-1,2-Propanediol|(.+-.)-Propylene glycol|(+-)-1,2-Propanediol|(+-)-Propylene glycol|(+/-) 1,2-Propanediol|(RS)-1,2-Propanediol|1,2-(RS)-Propanediol|1,2-DIHYDROXYPROPANE|1,2-PROPANDIOL|1,2-Propanediol|1,2-PROPYLENEGLYCOL|1,2-Propylenglykol|2-Hydroxypropanol|2,3-Propanediol|3-01-00-02142|a-Propylene glycol|Adeka PG|Adeka Propylene Glycol PG-P|Aliphatic alcohol|All purpose lubricant|alpha-Propylene glycol|alpha-propyleneglycol|BRN 1340498|Caswell No. 713|CH3CH(OH)CH2OH|Chilisa FE|DL-1,2-Propanediol|dl-Propylene glycol|Dowfrost|EINECS 200-338-0|EPA Pesticide Chemical Code 068603|FEMA No. 2940|General lube|Glycol|HOCH2CH(OH)CH3|HOCH2CH(OH)Me|Ilexan P|Inhibited 1,2-propylene glycol|Isopropylene glycol|MeCH(OH)CH2OH|Methyl ethylene glycol|methyl glycol|Methylethyl glycol|Methylethylene glycol|MONO PROPYLENE GLYCOL|Monopropylene glycol|NSC 69860|POLYESTER OF 1,2-PROPANEDIOL|PPD|Prolugen|Propan-1,2-diol|Propane-1,2-diol|Propanediol|propano-1,2-diol|PROPYLENE GLYCOL|Propylene glycol usp|PROPYLENE, GLYCOL|Propylen|1194046-20-2|190913-75-8|4254-16-4|63625-56-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,https://doi.org/10.22427/NTP-DATA-DTXSID0021206,1
131,skin_irritation_invivo_33,In Vivo,,,Isopropyl tetradecanoate,110-27-0,DTXSID0026838,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.3,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCC(=O)OC(C)C,Isopropyl tetradecanoate,"110-27-0|Isopropyl tetradecanoate|1-Methylethyl tetradecanoate|1-Tridecanecarboxylic acid, isopropyl ester|203-751-4|Bisomel|BRN 1781127|Caswell No. 511E|Crodacol IPM|Crodamol 1PM|Crodamol I.P.M.|Crodamol IPM|D 50|D 50 (emollient)|Deltyl Extra|Deltylextra|EC No.: 203-751-4|EINECS 203-751-4|Emcol IM|Emcol-IM|Emerest 2314|EPA Pesticide Chemical Code 000207|Estergel|Estergel (TN)|Estol 1512|Estol 1514|Estol IPM 1512|Exceparl IPM|Exceparl IPML|FEMA 3556|FEMA No. 3556|IPM|IPM 100|IPM-EX|IPM-R|Iso-propyl N-tetradecanoate|Isomyst|isopropyl myristate|Isopropyl myristate-PM|Isopropyl tetradecanoic acid|Isopropylmyristat|JA-FA IPM|Kessco IPM|Kessco isopropyl myristate|Kesscomir|Kollicream IPM|Lexol IPM|Liponate IPM|Matlube IPM-S|Methylethyl tetradecanoate|miristato de isopropilo|Myristate d'isopropyle|MYRISTATE, ISOPROPYL|Myristic acid isopropyl ester|Myristic acid, isopropyl ester|MYRISTINSAEURE-ISOPROPYLESTER|Nikkol IPM|Nikkol IPM 100|Nikkol IPM-EX|NSC 406280|Pastell IP 14|Pelemol IPM|Plymoutm IPM|Promyr|Propan-2-yl tetradecanoate|Radia 7190|Radia 77|1405-98-7|852553-53-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026838,,1
133,skin_irritation_invivo_67,In Vivo,,,Dipropylene glycol,25265-71-8,DTXSID0027856,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,"C*.C*.OCCOCCO |lp:4:2,7:2,10:2,m:1:5.6,3:8.9|",Dipropylene glycol,"25265-71-8|Dipropylene glycol|1,1'-Oxybis(2-propanol)|4-Oxa-2,6-heptandiol|ADK DPG-RF|Caswell No. 399E|DIPROPYLENEGLYCOL|DIPROPYLENGLYKOL|Dowanol DPG|EINECS 246-770-3|EPA Pesticide Chemical Code 068604|oxidipropanol|Oxybispropanol|Oxydipropanol|Propanol, oxybis-|UNII-E107L85C40|25322-23-0|27941-90-8|27941-91-9|28678-26-4|30370-61-7|75047-14-2|78644-49-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027856,https://doi.org/10.22427/NTP-DATA-DTXSID0027856,0
228,skin_irritation_invivo_51,In Vivo,,,4-(Methylthio)benzaldehyde,3446-89-7,DTXSID0033047,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CSC1=CC=C(C=O)C=C1,4-(Methylthio)benzaldehyde,"3446-89-7|4-(Methylthio)benzaldehyde|Benzaldehyde, 4-(methylthio)-|EINECS 222-365-7|942039-57-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0033047,,0
281,skin_irritation_invivo_27,In Vivo,,,"Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate",89-43-0,DTXSID0044579,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,COC(=O)C1=C(C=CC=C1)N=CCC(C)CCCC(C)(C)O,"Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate","89-43-0|Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate|201-908-1|Anthranilic acid, N-(7-hydroxy-3,7-dimethyloctylidene)-, methyl ester|Aurantine|Aurantiol|Aurantion|Aurantium|Benzoic acid, 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]-, methyl ester|EC No.: 201-908-1|EINECS 201-908-1|Hydroxycitronellal / methyl anthranilate|Hydroxycitronellal methyl anthranilate|Hydroxycitronellylidene methyl anthranilate|Methyl 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]benzoate|Methyl N-3,7-dimethyl-7-hydroxyoctylideneanthranilate|NSC 78483|61792-01-6",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044579,,0
283,skin_irritation_invivo_47,In Vivo,,,Methyl hexanoate,106-70-7,DTXSID0047616,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCC(=O)OC,Methyl hexanoate,"106-70-7|Methyl hexanoate|BRN 1744683|Caproic acid methyl ester|Caproic acid, methyl ester|EINECS 203-425-1|FEMA 2708|FEMA No. 2708|Hexanoate de methyle|HEXANOATE, METHYL|hexanoato de metilo|Hexanoic acid methyl ester|Hexanoic acid, methyl ester|Hexanoic acid,methyl ester|Methyl caproate|Methyl capronate|Methyl ester of hexanoic acid|Methyl hexoate|Methyl hexylate|Methyl n-hexanoate|Methyl N-hexoate|Methylhexanoat|N-Caproic acid methyl ester|NSC 5023|UNII-246364VPJS",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0047616,,0
306,skin_irritation_invivo_41,In Vivo,,,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-",191044-60-7,DTXSID00889094,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(C)C1=CC=CC=C1C(C)C1=CC=CC=C1,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-","191044-60-7|Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-",https://comptox.epa.gov/dashboard/chemical/details/DTXSID00889094,,0
411,skin_irritation_invivo_88,In Vivo,,,Sodium dodecyl sulfate,151-21-3,DTXSID1026031,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,83.1,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Sodium dodecyl sulfate,"151-21-3|Sodium dodecyl sulfate|1-Dodecanol,hydrogen sulfate,sodium salt|Adeka Hope LS 35|Adeka Hope LS 90|Akyposal NLS|Akyposal SDS|Alscoap LN 40A|Alscoap LN 90|Alscoap LN-140|Alscoap MP 90N|Alscoap SP 40|Alscoap-LN 90P|Anticerumen|Aquarex Me|Aquarex methyl|Avirol SL 2010|Bio-Soft SDBS 60|Calfoam ES 303|Calfoam SLS 30|Carsonol SLS|Carsonol SLS Paste B|Carsonol SLS Special|Carsonol SLS-S|Caswell No. 779|Colonial SLS|Conco sulfate WA|Conco sulfate WA-1200|Conco sulfate WA-1245|Conco Sulfate WAG|Conco Sulfate WAN|Conco Sulfate WAS|Conco sulfate WN|Cycloryl 21|Cycloryl 21LS|Cycloryl 31|Cycloryl 580|Cycloryl 585N|Dehydag Sulfate GL|Dehydag sulfate GL emulsion|Dehydag sulphate GL emulsion|Dehydrag sulfate gl emulsion|Dermacide|Detergent 66|Dodecyl alcohol, hydrogen sulfate, sodium salt|DODECYL HYDROGEN SULFATE SODIUM SALT|DODECYL HYDROGENSULFATE SODIUM SALT|Dodecyl sodium sulfate|Dodecyl sulfate sodium|DODECYL SULFATE SODIUM SALT|DODECYL SULFATE, SODIUM|Dodecyl sulfate, sodium salt|Dupanol WAQ|Duponal|Duponal WAQE|Duponol|Duponol C|Duponol ME|Du|1000201-72-8|1000201-73-9|111726-87-5|121481-64-9|12738-53-3|12765-21-8|129203-37-8|1334-67-4|1335-72-4|145269-44-9|152155-52-7|156108-01-9|172826-72-1|1883428-81-6|191490-40-1|210297-21-5|2326507-32-6|237743-45-2|303179-49-9|39384-36-6|51222-39-0|57176-54-2|58640-35-0|61711-39-5|64441-33-4|74433-77-5|8012-56-4|8048-56-4|877454-24-5|952055-37-7|952092-90-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026031,https://doi.org/10.22427/NTP-DATA-DTXSID1026031,1
