,Record_ID,Data_Type,Formulation_ID,Formulation_Name,Chemical_Name,CASRN,DTXSID,Percent_Active_Ingredient,Concentration,Concentration_Units,Mixture,Species,Reported_Strain,Strain,Sex,Assay,Endpoint,Response,Response_Unit,Reference,SMILES,Preferred_Name,Synonyms,URL_CompTox,URL_CEBS,label
424,skin_irritation_invivo_87,In Vivo,,,Carbonic acid sodium salt (1:2),497-19-8,DTXSID1029621,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].[Na+].[O-]C([O-])=O,Carbonic acid sodium salt (1:2),"497-19-8|Carbonic acid sodium salt (1:2)|Bisodium carbonate|Calcined soda|Carbonate de sodium|carbonato de sodio|Carbonic acid disodium salt|Carbonic acid sodium salt|Carbonic acid sodium salt (1:2)|Caswell N0 752|Dense Ash|Disodium carbonate|Disodium carbonate (Na2CO3)|Dynamar 5251Q|Dynamar L 13890|Dynamar RC 5251Q|EINECS 207-838-8|EPA Pesticide Chemical Code 073506|Light Ash|Lime ash|Na-X|Na2CO3|Natrium Carbonicum Calcinatum|Natrium Carbonicum Siccatum|NSC 156204|Snowlite 1|Snowlite I|Soda|Soda ash|Soda Ash Dense|Soda Ash Light|Soda Light|Soda, calcined|Sodium carbonate|Sodium carbonate (2:1)|Sodium carbonate (Na2(CO3))|Sodium carbonate, anhydrous|Suprapur 6395|UNII-45P3261C7T|V Soda|Washing soda|1314087-39-2|1332-57-6|1977561-09-3|7542-12-3",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1029621,,0
534,skin_irritation_invivo_5,In Vivo,,,Dimethyl sulfoxide,67-68-5,DTXSID2021735,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,100,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CS(C)=O,Dimethyl sulfoxide,"67-68-5|Dimethyl sulfoxide|(CH3)2SO|(methylsulfinyl)methane|Caswell No. 381|Demasorb|Demavet|Demsodrox|Dimethyl sulfoxixde|dimethyl sulfur oxide|Dimethyl Sulphoxide|Dimethyl sulpoxide|Dimethyli sulfoxidum|Dimethylsulfoxid|DIMETHYLSULFOXIDE|Dimethylsulfoxyde|dimetil sulfoxido|Dimetilsolfossido|Dimexide|Dimexidum|Dipirartril-tropico|DMSO|Dolicur|Doligur|Dromisol|Durasorb|EINECS 200-664-3|EPA Pesticide Chemical Code 000177|Infiltrina|Methane, 1,1'-sulfinylbis-|Methane, sulfinylbis-|methanesulfinylmethane|Methyl sulfoxide|Methyl sulphoxide|Methylsulfinylmethane|NSC 763|NSC-763|S(O)Me2|Sclerosol|Somipront|sulfinylbis(methane)|Sulfinylbismethane|SULFOXIDE, DIMETHYL|Syntexan|UNII-YOW8V9698H|164071-41-4|705301-21-9|8070-53-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021735,https://doi.org/10.22427/NTP-DATA-DTXSID2021735,1
540,skin_irritation_invivo_64,In Vivo,,,Dipropyl disulfide,629-19-6,DTXSID2022096,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,20,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCSSCCC,Dipropyl disulfide,"629-19-6|Dipropyl disulfide|4,5-Dithiaoctane|Di-n-propyl disulfide|Disulfide, dipropyl|EINECS 211-079-8|FEMA 3228|FEMA No. 3228|NSC 75122|Propyl disulfide|Propyldithiopropane|UNII-I7K169J70F",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2022096,,1
542,skin_irritation_invivo_79,In Vivo,,,Tromethamine,77-86-1,DTXSID2023723,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,6.2,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,NC(CO)(CO)CO,Tromethamine,"77-86-1|Tromethamine|[2-Hydroxy-1,1-bis(hydroxymethyl)ethyl]amine|1,1,1-tris(hydroxymethyl)methanamine|1,3-Propanediol, 2-amino-2-(hydroxymethyl)-|2-(Hydroxymethyl)-2-amino-1,3-propanediol|2-Amino-1,3-dihydroxy-2-(hydroxymethyl)propane|2-AMINO-2-(HYDROXYMETHYL)-1,3-PROPANDIOL|2-Amino-2-(hydroxymethyl)-1,3-propanediol|2-Amino-2-(hydroxymethyl)propane-1,3-diol|2-Amino-2-hydroxymethyl-1, 3-propanediol|2-amino-2-hydroxymethyl-1,3-propanediol|2-Amino-2-hydroxymethylpropan-1,3-diol|2-Amino-2-methylol-1,3-propanediol|Addex-Tham|Aminotri(hydroxymethyl)methane|Aminotrimethylolmethane|Aminotris(hydroxymethyl)methane|Apiroserum Tham|Caswell No. 036|EINECS 201-064-4|EPA Pesticide Chemical Code 083901|Methanamine, 1,1,1-tris(hydroxymethyl)-|Methylamine, 1,1,1-tris(hydroxymethyl)-|NSC 103026|NSC 6365|NSC 65434|Pehanorm|PROPANE-1,3-DIOL, 2-AMINO-2-(HYDROXYMETHYL)-|Talatrol|THAM|Tri Amino|Tri(hydroxymethyl)methylamine|Trigmo base|TRIHYDROXYMETHYLAMINOMETHANE|Triladyl|Trimethylolaminomethane|TRIS|Tris Amino|Tris Amino Crystal|Tris base|TRIS BUFFE|108195-86-4|1158650-64-6|119320-15-9|25149-07-9|68755-45-3|83147-39-1|857365-23-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2023723,,1
546,skin_irritation_invivo_74,In Vivo,,,alpha-Terpinyl acetate,80-26-2,DTXSID2026496,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(=O)OC(C)(C)C1CCC(C)=CC1,alpha-Terpinyl acetate,"80-26-2|alpha-Terpinyl acetate|(.+-.)-a-Terpineol acetate|(.+-.)-a-Terpinyl acetate|2-(4-Methyl-3-cyclohexen-1-yl)-2-propyl acetate|3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, acetate|3-Cyclohexene-1-methanol, alpha,alpha,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, a,a,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, a,a,4-trimethyl-, acetate|4-06-00-00253|a-Terpineol acetate|Acetate de p-menth-1-en-8-yle|acetate de p-menth-1-ene-8-yle|ACETATE, a, a, 4-TRIMETHYL-CYCLOHEX-3-ENE-1-METHYL|acetato de p-ment-1-en-8-ilo|alpha-Terpineol, acetate|alpha,alpha,4-Trimethyl-3-cyclohexene-1-methyl acetate|BRN 3198769|EINECS 201-265-7|EINECS 234-183-5|FEMA 3047|FEMA No. 3047|p-Menth-1-en-8-ol, acetate|p-menth-1-en-8-yl acetate|p-Menth-1-en-8-ylacetat|TERPINYL ACETATE|UNII-9RXE0I9F2J|a-Terpineol acetate|a-Terpinyl acetate|a,a,4-trimethyl-3-cyclohexene-1-methanol acetate|104806-93-1|10581-37-0|21090-64-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2026496,,0
751,skin_irritation_invivo_71,In Vivo,,,Sodium xylenesulfonate,1300-72-7,DTXSID3026302,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,"C*.C*.OS(=O)(=O)C1=CC=CC=C1 |c:8,10,t:6,lp:4:2,6:2,7:2,m:1:9.10,3:10.11.12.13|",Sodium xylenesulfonate,"1300-72-7|Sodium xylenesulfonate|Benzenesulfonic acid, dimethyl-, sodium salt|Benzenesulfonic acid, dimethyl-, sodium salt (1:1)|Caswell No. 799A|Conco SXS|Cyclophil SXS 30|Cyclophil sxs30|Dimethylbenzenesulfonic acid sodium salt|EINECS 215-090-9|Eltesol SX 30|Eltesol SX 93|EPA Pesticide Chemical Code 079019|Hydrotrope|Kemmat SN 18|Natriumxylolsulfonat|Naxonate|Naxonate 4L|Naxonate G|Naxonate SX|NCI-C55403|Richonate SXS|Sodium dimethylbenzenesulfonate|Sodium xylene sulfonate|sodium xylenesulphonate|Stepanate SXS|Stepanate X|Surco SXS|Ultrawet 40SX|UNII-G4LZF950UR|Witconate SXS|xilensulfonato de sodio|Xylenesulfonate de sodium|XYLENESULFONATE, SODIUM|Xylenesulfonic acid, sodium salt|39340-93-7",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3026302,https://doi.org/10.22427/NTP-DATA-DTXSID3026302,0
757,skin_irritation_invivo_66,In Vivo,,,"Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)",15630-89-4,DTXSID3029736,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.8,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].[Na+].[Na+].[Na+].OO.OO.OO.[O-]C([O-])=O.[O-]C([O-])=O,"Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)","15630-89-4|Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)|239-707-6|BIOXY S|BIOXY S NEW|Carbonate de disodium, compose avec le peroxyde d'hydrogene(2:3)|carbonate de disodium, compose avec peroxyde d'hydrogene(2:3)|carbonato de disodio, composto con peroxido de hidrogeno(2:3)|Carbonic acid disodium salt, compd. with hydrogen peroxide|CARBONIC ACID DISODIUM SALT, COMPOUND, WITH HYDROGEN PEROXIDE|Carbonic acid sodium salt (1:2), compd. with hydrogen peroxide (H2O2) (2:3)|Carbonic acid, disodium salt, compd. with hydrogen peroxide (2:3)|Carbonic acid, disodium salt, compound with hydrogen peroxide|Dinatriumcarbonat, Verbindung mit Hydrogenperoxid(2:3)|Disodium carbonate compd. with hydrogen peroxide (2:3)|Disodium carbonate compd. with hydrogen peroxide (Na2CO3.1.5 H2O2)|Disodium carbonate sesquiperoxide|Disodium carbonate, compd. with hydrogen peroxide (2:3)|Disodium carbonate, compound with hydrogen peroxide (2:3)|Disodium carbonate, hydrogen peroxide (2:3)|EC No.: 239-707-6|EINECS 239-707-6|FB Sodium Percarbonate|NATRIUMPERCARBONAT|OxiClean|Oxyper S 131|Oxyper S 142|1161851-82-6|121525-84-6|1226792-00-2|205368-25-8|701915-52-8|701915-53-9|726171-65-9|81677-18-1|82728-90-3|861998-94-9|89140-31-8|90569-69-0",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3029736,,1
876,skin_irritation_invivo_62,In Vivo,,,Polyethylene glycol,25322-68-3,DTXSID4027862,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,"[H]OCCO |lp:1:2,4:2,Sg:n:1,2,3::ht|",Polyethylene glycol,"25322-68-3|Polyethylene glycol|1,2-Ethanediol homopolymer|1,2-Ethanediol, homopolymer|3,6,9,12,15,18,21,24,27,30,33,36,39-Tridecaoxahentetracontane-1,41-diol|Alkox E 100|Alkox E 130|Alkox E 160|Alkox E 240|Alkox E 300|Alkox E 30G|Alkox LE|Alkox R 100|Alkox R 1000|Alkox R 150|Alkox R 400|Alkox SR|Alkox SW|alpha-Hydro-omega-hydroxypoly(oxy-1,2-ethanediyl)|alpha-Hydro-omega-hydroxypoly(oxyethylene)|Antarox E 4000|Aqua Calk TWB-P|Aquacide III|Aquaffin|Badimol|Bradsyn PEG|Breox PEG 300|CARBOWACHS|Carbowax|Carbowax 100|Carbowax 1000|Carbowax 1350|Carbowax 14000|Carbowax 1450|Carbowax 1500|Carbowax 1540|Carbowax 20|Carbowax 200|Carbowax 20000|Carbowax 25000|Carbowax 300|Carbowax 3350|Carbowax 400|Carbowax 4000|Carbowax 4500|Carbowax 4600|Carbowax 600|Carbowax 6000|Carbowax 8000|Carbowax E 300|Carbowax E 9000|Carbowax PEG 1450|Carbowax PEG 300|Carbowax Sentry 300|Carbowax Sentry NF|Carbowax Sentry PEG 8000|Cartaretin E|Cerasol 250A|Chemiox E 20(C)|Colyte|Deactivator H|Decuflux RM 33|Desmophen L 1208|EINECS 266-688-1|Emkapol 150|Emkapol 200|Emkapol|1011711-38-8|101677-86-5|1033001-32-9|1035554-64-3|106186-24-7|107502-63-6|107529-96-4|109550-27-8|112384-37-9|112895-21-3|113041-64-8|114323-93-2|1152430-37-9|116549-90-7|1186292-40-9|1186292-41-0|119219-06-6|1204298-97-4|1221382-78-0|1221382-83-7|1221889-65-1|1246265-64-4|125223-68-9|1256377-90-8|1267533-36-7|12676-74-3|12770-93-3|1287768-38-0|1293291-01-6|1319730-68-1|1330618-78-4|133573-31-6|1338951-32-8|134919-43-0|1370345-22-4|1373256-89-3|1377964-82-3|1422717-42-7|1429745-88-9|1434253-80-1|1435263-27-6|1446681-77-1|1474108-09-2|150872-82-5|154394-38-4|156948-19-5|1613520-06-1|1620693-21-1|1628723-15-8|1636129-20-8|169046-53-1|1696472-65-7|1710469-72-9|174460-08-3|174460-09-4|1800416-42-5|1809027-71-1|1852508-98-5|1873338-22-7|188364-77-4|188924-03-0|189154-62-9|191743-71-2|1927875-70-4|196696-84-1|201163-43-1|2015216-86-9|206357-86-0|2088235-52-1|2092889-80-8|2122851-44-7|2170314-63-1|221638-71-7|225502-44-3|25104-58-9|25609-81-8|270910-26-4|307928-07-0|34802-42-1|356055-70-4|37361-15-2|391229-98-4|402",https://comptox.epa.gov/dashboard/chemical/details/DTXSID4027862,https://doi.org/10.22427/NTP-DATA-DTXSID4027862,0
877,skin_irritation_invivo_50,In Vivo,,,Methyl hexadecanoate,112-39-0,DTXSID4029149,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.5,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCCCC(=O)OC,Methyl hexadecanoate,"112-39-0|Methyl hexadecanoate|EINECS 203-966-3|FAME C16:0|Hexadecanoate methyl ester|Hexadecanoic acid methyl ester|Hexadecanoic acid, methyl ester|Hexadecanoic acid,methyl ester|Metholene 2216|Methyl n-hexadecanoate|methyl palmitate|Methyl palmitic acid|Methylpalmitat|n-Hexadecanoic acid methyl ester|NSC 4197|Palmitate de methyle|PALMITATE, METHYL|palmitato de metilo|Palmitic acid, methyl ester|PALMITINSAEURE-METHYLESTER|Pastell M 16|UNII-DPY8VCM98I|Uniphat A60",https://comptox.epa.gov/dashboard/chemical/details/DTXSID4029149,,1
1047,skin_irritation_invivo_49,In Vivo,,,Methyl dodecanoate,111-82-0,DTXSID5026889,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCC(=O)OC,Methyl dodecanoate,"111-82-0|Methyl dodecanoate|4-02-00-01090|Agnique ME 1270U|Agnique ME 1290|BRN 1767780|Dodecanoic acid methyl ester|Dodecanoic acid, methyl ester|DODECANOIC ACID,METHYL ESTER|Edenor ME-C 1270|Edenor ME-C 1298-100|EINECS 203-911-3|FEMA No. 2715|FEMA number 2715|Laurate de methyle|LAURATE, METHYL|laurato de metilo|Lauric acid methyl ester|Lauric acid, methyl ester|Metholene 2296|Methyl dodecylate|Methyl laurate|Methyl laurinate|Methyl n-dodecanoate|Methyllaurat|NSC 5027|Pastel M 12|Pastell M 12|Stepan C 40|Texaprint SDM 100|UNII-8IPS6BI6KW|Uniphat A 40|Uniphat A40",https://comptox.epa.gov/dashboard/chemical/details/DTXSID5026889,,0
1049,skin_irritation_invivo_7,In Vivo,,,1-Dodecanol,112-53-8,DTXSID5026918,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCO,1-Dodecanol,"112-53-8|1-Dodecanol|1-Dodecyl alcohol|1-Hydroxydodecane|203-982-0|4-01-00-01844|Alcohol C-12|Alfol 12|BRN 1738860|C12 alcohol|Cachalot L-50|Cachalot L-90|Co-1214S1-dodecanol|Dodecan-1-ol|dodecane-1-ol|Dodecanol-1|Dodecyl alcohol|Dodecylalcohol|Duodecyl alcohol|Dytol j-68|EC No.: 203-982-0|EINECS 203-982-0|Epal 12|Exxal 12|Fatty alcohol|Fatty alcohol(C12)|FEMA No. 2617|Hainol 12SS|Hydroxydodecane|Kalcohl 2098|Kalcol 2098|Karukoru 20|Lauric alcohol|Laurinic alcohol|Lauroyl alcohol|Lauryl 24|Lauryl alcohol|Lipocol L|Lorol|Lorol 11|Lorol 5|Lorol 7|Lorol C 12/98|Lorol C12|Lorol C12-C14|Lorol C8-C10 special|Lorol special|n-Dodecan-1-ol|n-Dodecyl alcohol|n-Lauryl alcohol|n-Lauryl alcohol, primary|Nacol 12-96|NSC 3724|P.C. Code 001509|PC Code 001509|Philcohol 1200|Pisol|Sipol L12|Siponol 25|Siponol L 2|Siponol L 5|Siponol L5|Undecyl carbinol|UNII-178A96NLP2|1173838-88-4|1322-35-6|68855-55-0|8014-32-2|8032-08-4|8032-09-5|8032-10-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID5026918,,0
1166,skin_irritation_invivo_60,In Vivo,,,1-Pentanol,71-41-0,DTXSID6021741,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCO,1-Pentanol,"71-41-0|1-Pentanol|1-pentol|1-Pentyl alcohol|4-01-00-01640|alcool amylique|Alcool amylique (french)|Alcool amylique [french]|AMYL ALCOHOL|Amyl alcohol (natural)|Amyl alcohol normal|amyl alcohol, normal|Amylalkohol|Amylol|BRN 1730975|Butyl carbinol|butylcarbinol|C5 alcohol|EINECS 200-752-1|FEMA No. 2056|FEMA Number 2056|N-AMYL ALCOHOL|n-Amylalkohol|N-Amylalkohol (czech)|N-Amylalkohol [czech]|n-Butyl carbinol|n-butylcarbinol|n-C5H11OH|n-Pentan-1-ol|n-Pentanol|n-Pentyl alcohol|N-Pentyl-alcohol|NSC 5707|Pentan-1-ol|pentane-1-ol|PENTANOL|Pentanol (van)|pentanol-1|Pentanols [UN1105] [Flammable liquid]|Pentasol|PENTYL ALCOHOL|Pentyl-alcohol|Pentylalkohol|Petan-1-ol|Primary amyl alcohol|Primary-N-amyl alcohol|UN 1105 (DOT)|UNII-M9L931X26Y",https://comptox.epa.gov/dashboard/chemical/details/DTXSID6021741,https://doi.org/10.22427/NTP-DATA-DTXSID6021741,0
1345,skin_irritation_invivo_56,In Vivo,,,1-Octanol,111-87-5,DTXSID7021940,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,17.90,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCO,1-Octanol,"111-87-5|1-Octanol|1-Hydroxyoctane|1-Oktanol|ALCOHOL C-8|Alfol 8|capryl alcohol|Caprylic alcohol|Caswell No. 611A|Dytol m-83|EINECS 203-917-6|Emery 3322|Emery 3324|EPA Pesticide Chemical Code 079037|Epal 8|Fatty alcohol(C8)|FEMA No. 2800|FEMA Number 2800|Heptyl carbinol|Hexyl methyl carbinol|Kalcohl 0898|Kalcol 0898|Lorol 20|Lorol C 8-98|Lorol C8|n-Caprylic alcohol|n-heptyl carbinol|n-Octan-1-ol|n-Octanol|n-Octyl alcohol|N-Octyl-alcohol|NSC 9823|octan-1-ol|octane-1-ol|Octanol|Octilin|OCTYL ALCOHOL|Octyl alcohol normal-primary|Octyl alcohol, normal-primary|Octyl alcohol, primary|Octyl-alcohol|Prim-N-octyl alcohol|primary octyl alcohol|Sipol L8|UNII-NV1779205D|220713-26-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID7021940,,1
1349,skin_irritation_invivo_53,In Vivo,,,1-Decanol,112-30-1,DTXSID7021946,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,13.2,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCO,1-Decanol,"112-30-1|1-Decanol|1-Decanol (ACD/Name 4.0)|1-Hydroxydecane|4-01-00-01815|Agent 504|Alcohol C-10|ALCOHOL C-10 (1-DECANOL)|Alcohol C10|Alfol 10|Antak|BRN 1735221|C 10 alcohol|C10 alcohol|Capric alcohol|Caprinic alcohol|Caswell No. 275A|decan-1-ol|decane-1-ol|Decanol|Decanol (van)|Decanol-(1)|DECYL ALCOHOL|Decyl N- alcohol|DECYL, N- ALCOHOL|Decylic alcohol|EINECS 203-956-9|EPA Pesticide Chemical Code 079038|Epal 10|Fatty alcohol(C10)|FEMA No. 2365|FEMA Number 2365|Kalcohl 1098|Kalcohl 10H|Kalcol 1098|Lorol C10|n-decan-1-ol|n-Decanol|n-Decatyl alcohol|n-Decyl alcohol|n-Nonylcarbinol|Nacol 10-99|Nonyl acarbinol|Nonylcarbinol|NSC 406313|Panorama|Paranol|Primary decyl alcohol|Royaltac|Royaltac M-2|Royaltac-85|T-148|UNII-89V4LX791F",https://comptox.epa.gov/dashboard/chemical/details/DTXSID7021946,,1
1526,skin_irritation_invivo_52,In Vivo,,,1-Naphthaleneacetic acid,86-87-3,DTXSID8020915,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,OC(=O)CC1=C2C=CC=CC2=CC=C1,1-Naphthaleneacetic acid,86-87-3|1-Naphthaleneacetic acid|1-Naphthaleneacetic acid|1-NAPHTHALINESSIGSAEURE|1-Naphthtaleneacetic acid|1-Naphthylessigsaeure|1-Naphthylessigsaure|2-(1-Naphthyl)acetic acid|2-(alpha-Naphthyl)ethanoic aid|2-(Naphthalen-1-yl)acetic acid|2-(a-Naphthyl)ethanoic acid|acide 1-naphtylacetique|Acide naphthylacetique|Acide naphtyl-1-acetique|Acide naphtylacetique|acido 1-naftilacetico|Agronaa|alpha-NAA|alpha-naphthaleneacetic acid|alpha-Naphthylacetic acid|alpha-Naphthyleneacetic acid|alpha-Naphthylessigsaeure|Alphaspra|Appl-set|Caswell No. 589|Celmone|EINECS 201-705-8|EPA Pesticide Chemical Code 056002|Floramon|Fruit Fix|Fruitofix|Fruitone N|Hormofix|Klingtite|Kyselina 1-naftyloctova|Liqui-stik|NAA|Nafusaku|Naphthalen-1-ylacetic acid|naphthalene-1-acetic acid|Naphthaleneacetic acid|Naphthyl-1-essigsaeure|NAPHTHYLACETIC ACID|Naphyl-1-essigsaeure|Niagara-stik|NSC 15772|NU-Tone|Phyomone|Pimacol-sol|Planofix|Planofixe|Plucker|Pomoxon|Primacol|Regenasol|Rhizopon B|Rhodofix|Stafast|Stimolante 66f|Stop-Drop|Tip-Off|Transplantone|Tre-hold|UNII-33T7G775|267410-73-1|61913-11-9|69072-67-9,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020915,,0
1529,skin_irritation_invivo_19,In Vivo,,,1-Hexanol,111-27-3,DTXSID8021931,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,16.90,%,Robinson et al. 2001; 11422260; 10.1034/j.1600-0536.2001.045001001.x,CCCCCCO,1-Hexanol,"111-27-3|1-Hexanol|1-Hexyl alcohol|1-Hydroxyhexane|4-01-00-01694|ALCOHOL C-6|Alcohol(C6)|Amyl carbinol|Amylcarbinol|BHL|BRN 0969167|C6 alcohol|Caproic alcohol|Caproyl alcohol|Caswell No. 482E|EINECS 203-852-3|EPA Pesticide Chemical Code 079047|Epal 6|Exxal 6|Fatty alcohol(C6)|FEMA No. 2567|FEMA Number 2567|HEX|Hexahydrophenol|Hexalin|Hexan-1-ol|hexane-1-ol|hexanol|Hexanol (van)|Hexanol-(1)|Hexanol-CMPD|hexyl alcohol|Hexyl alcohol (natural)|Hexyl alcohol, active|n-Hexan-1-ol|n-Hexanol|N-Hexenol|N-HEXYL ALCOHOL|NSC 9254|Pentylcarbinol|UN 2282|UNII-6CP2QER8GS|220713-27-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021931,,1
1647,skin_irritation_invivo_69,In Vivo,,,1-tert-Butoxy-2-propanol,57018-52-7,DTXSID8025967,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(O)COC(C)(C)C,1-tert-Butoxy-2-propanol,"57018-52-7|1-tert-Butoxy-2-propanol|1-(1,1-Dimethylethoxy)-2-propanol|1-(1,1-Dimethylethoxy)propan-2-ol|1-Methyl-2-tert-butoxyethanol|1-tert-Butoxypropan-2-ol|1-tert-Butoxypropane-2-ol|2-Propanol, 1-(1,1-dimethylethoxy)-|Arcasolv PTB|Arcosolv PTB|BRN 1734501|PROPAN-2-OL, 1-(1,1-DIMETHYLETHOXY)-|Propylene glycol 1-(tert-butyl ether)|Propylene glycol mono-t-buthyl ether|Propylene glycol mono-t-butyl ether|Propylene glycol mono-tert-butyl ether|Propylene glycol t-butyl ether|UNII-03077MV85B|136579-67-4",https://comptox.epa.gov/dashboard/chemical/details/DTXSID8025967,https://doi.org/10.22427/NTP-DATA-DTXSID8025967,0
1649,skin_irritation_invivo_11,In Vivo,,,"(2E)-3,7-Dimethyl-2,6-octadien-1-ol",106-24-1,DTXSID8026727,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,17.90,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(C)=CCCC(C)=CCO,Geraniol,"106-24-1|Geraniol|(2E)-3,7-Dimethyl-2,6-octadien-1-ol|(2E)-3,7-dimethylocta-2,6-dien-1-ol|(E)-3,7-Dimethyl-2,6-octadien-1-ol|(E)-3,7-Dimethyl-2,6-octadienol|(E)-Geraniol|(E)-Nerol|2-trans-3,7-Dimethyl-2,6-octadien-1-ol|2-trans-3,7-Dimethyl-2,6-octadiene-1-ol|2,6-Octadien-1-ol, 3,7-dimethyl-,|2,6-Octadien-1-ol, 3,7-dimethyl-, (2E)-|2,6-Octadien-1-ol, 3,7-dimethyl-, (E)-|2,6-Octadien-1-ol, 3,7-dimethyl-, trans-|2,6-Octadien-1-ol, 3,7-dimetil-, (2E) -|2E-Geraniol|3,7-Dimethyl-(2E)-2,6-Octadien-1-ol|3,7-Dimethyl-(E)-2,6-Octadien-1-ol|3,7-DIMETHYL-2,6-OCTADIEN-1-OL|3,7-Dimethyl-2,6-octadien-1-ol, (E)-|3,7-Dimethyl-trans-2,6-octadien-1-ol|4-01-00-02277|b-Geraniol|beta-Geraniol|BRN 1722456|EINECS 203-377-1|EPA Pesticide Chemical Code 597501|FEMA 2507|FEMA No. 2507|Geraniol|Geraniol 60|Geraniol 980|Geraniol alcohol|Geraniol BJ|Geraniol Extra|Geranyl alcohol|Lemonol|MosquitoSafe|NSC 9279|t-geraniol|trans-1-Hydroxy-3,7-dimethyl-2,6-octadiene|trans-2,6-Dimethyl-2,6-octadien-8-ol|trans-3,7-Dimethyl-2,6-octadien-1-ol|Trans-3,7-dimethyl-2,6|491611-08-6|8007-13-4",https://comptox.epa.gov/dashboard/chemical/details/DTXSID8026727,,1
1757,skin_irritation_invivo_30,In Vivo,,,"Hexane, 3,3-bis(methoxymethyl)-2,5-dimethyl-",129228-21-3,DTXSID80456581,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,20.7,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,COCC(COC)(CC(C)C)C(C)C,"Hexane, 3,3-bis(methoxymethyl)-2,5-dimethyl-","129228-21-3|Hexane, 3,3-bis(methoxymethyl)-2,5-dimethyl-",https://comptox.epa.gov/dashboard/chemical/details/DTXSID80456581,,1
