model,k,param,train,cv
LogReg,5,-,0.718,0.668
LogReg,10,-,0.872,0.793
LogReg,15,-,0.897,0.793
LogReg,20,-,0.872,0.793
LogReg,25,-,0.897,0.743
LogReg,30,-,0.897,0.743
LogReg,40,-,0.897,0.664
LogReg,50,-,0.923,0.661
