Record_ID,Data_Type,Formulation_ID,Formulation_Name,Chemical_Name,CASRN,DTXSID,Percent_Active_Ingredient,Concentration,Concentration_Units,Mixture,Species,Reported_Strain,Strain,Sex,Assay,Endpoint,Response,Response_Unit,Reference,SMILES,Preferred_Name,Synonyms,URL_CompTox,URL_CEBS,label
skin_irritation_invivo_5,In Vivo,,,Dimethylsulfoxide,67-68-5,DTXSID2021735,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CS(C)=O,Dimethyl sulfoxide,"67-68-5|Dimethyl sulfoxide|(CH3)2SO|(methylsulfinyl)methane|Caswell No. 381|Demasorb|Demavet|Demsodrox|Dimethyl sulfoxixde|dimethyl sulfur oxide|Dimethyl Sulphoxide|Dimethyl sulpoxide|Dimethyli sulfoxidum|Dimethylsulfoxid|DIMETHYLSULFOXIDE|Dimethylsulfoxyde|dimetil sulfoxido|Dimetilsolfossido|Dimexide|Dimexidum|Dipirartril-tropico|DMSO|Dolicur|Doligur|Dromisol|Durasorb|EINECS 200-664-3|EPA Pesticide Chemical Code 000177|Infiltrina|Methane, 1,1'-sulfinylbis-|Methane, sulfinylbis-|methanesulfinylmethane|Methyl sulfoxide|Methyl sulphoxide|Methylsulfinylmethane|NSC 763|NSC-763|S(O)Me2|Sclerosol|Somipront|sulfinylbis(methane)|Sulfinylbismethane|SULFOXIDE, DIMETHYL|Syntexan|UNII-YOW8V9698H|164071-41-4|705301-21-9|8070-53-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021735,https://doi.org/10.22427/NTP-DATA-DTXSID2021735,1
skin_irritation_invivo_64,In Vivo,,,di-n-Propyl disulfide,629-19-6,DTXSID2022096,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCSSCCC,Dipropyl disulfide,"629-19-6|Dipropyl disulfide|4,5-Dithiaoctane|Di-n-propyl disulfide|Disulfide, dipropyl|EINECS 211-079-8|FEMA 3228|FEMA No. 3228|NSC 75122|Propyl disulfide|Propyldithiopropane|UNII-I7K169J70F",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2022096,,0
skin_irritation_invivo_79,In Vivo,,,Tris(hydroxymethyl)aminomethane,77-86-1,DTXSID2023723,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,NC(CO)(CO)CO,Tromethamine,"77-86-1|Tromethamine|[2-Hydroxy-1,1-bis(hydroxymethyl)ethyl]amine|1,1,1-tris(hydroxymethyl)methanamine|1,3-Propanediol, 2-amino-2-(hydroxymethyl)-|2-(Hydroxymethyl)-2-amino-1,3-propanediol|2-Amino-1,3-dihydroxy-2-(hydroxymethyl)propane|2-AMINO-2-(HYDROXYMETHYL)-1,3-PROPANDIOL|2-Amino-2-(hydroxymethyl)-1,3-propanediol|2-Amino-2-(hydroxymethyl)propane-1,3-diol|2-Amino-2-hydroxymethyl-1, 3-propanediol|2-amino-2-hydroxymethyl-1,3-propanediol|2-Amino-2-hydroxymethylpropan-1,3-diol|2-Amino-2-methylol-1,3-propanediol|Addex-Tham|Aminotri(hydroxymethyl)methane|Aminotrimethylolmethane|Aminotris(hydroxymethyl)methane|Apiroserum Tham|Caswell No. 036|EINECS 201-064-4|EPA Pesticide Chemical Code 083901|Methanamine, 1,1,1-tris(hydroxymethyl)-|Methylamine, 1,1,1-tris(hydroxymethyl)-|NSC 103026|NSC 6365|NSC 65434|Pehanorm|PROPANE-1,3-DIOL, 2-AMINO-2-(HYDROXYMETHYL)-|Talatrol|THAM|Tri Amino|Tri(hydroxymethyl)methylamine|Trigmo base|TRIHYDROXYMETHYLAMINOMETHANE|Triladyl|Trimethylolaminomethane|TRIS|Tris Amino|Tris Amino Crystal|Tris base|TRIS BUFFE|108195-86-4|1158650-64-6|119320-15-9|25149-07-9|68755-45-3|83147-39-1|857365-23-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2023723,,0
skin_irritation_invivo_74,In Vivo,,,Terpinyl acetate,80-26-2,DTXSID2026496,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(=O)OC(C)(C)C1CCC(C)=CC1,alpha-Terpinyl acetate,"80-26-2|alpha-Terpinyl acetate|(.+-.)-a-Terpineol acetate|(.+-.)-a-Terpinyl acetate|2-(4-Methyl-3-cyclohexen-1-yl)-2-propyl acetate|3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, acetate|3-Cyclohexene-1-methanol, alpha,alpha,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, a,a,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, a,a,4-trimethyl-, acetate|4-06-00-00253|a-Terpineol acetate|Acetate de p-menth-1-en-8-yle|acetate de p-menth-1-ene-8-yle|ACETATE, a, a, 4-TRIMETHYL-CYCLOHEX-3-ENE-1-METHYL|acetato de p-ment-1-en-8-ilo|alpha-Terpineol, acetate|alpha,alpha,4-Trimethyl-3-cyclohexene-1-methyl acetate|BRN 3198769|EINECS 201-265-7|EINECS 234-183-5|FEMA 3047|FEMA No. 3047|p-Menth-1-en-8-ol, acetate|p-menth-1-en-8-yl acetate|p-Menth-1-en-8-ylacetat|TERPINYL ACETATE|UNII-9RXE0I9F2J|a-Terpineol acetate|a-Terpinyl acetate|a,a,4-trimethyl-3-cyclohexene-1-methanol acetate|104806-93-1|10581-37-0|21090-64-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2026496,,0
skin_irritation_invivo_54,In Vivo,,,Nonanoic acid,112-05-0,DTXSID3021641,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCCCCCCC(O)=O,Nonanoic acid,"112-05-0|Nonanoic acid|1-Nonanoate|1-nonanoic acid|1-Octanecarboxyic acid|1-Octanecarboxylate|1-Octanecarboxylic acid|4-02-00-01018|Acide nonanoique|acido nonanoico|BRN 1752351|CH3-[CH2]7-COOH|Cirrasol 185a|EINECS 203-931-2|Emery 1202|Emery'S L-114|Emfac 1202|EPA Pesticide Chemical Code 217500|FEMA No. 2784|Grantrico|Hexacid C-9|N-Nonanoate|N-NONANOIC ACID|N-Nonoate|n-Nonoic acid|N-Nonylate|n-Nonylic acid|N-Pelargonate|n-Pelargonic acid|Nonanoate|Nonansaeure|Nonansaure|Nonoate|Nonoic acid|Nonylate|Nonylic acid|NSC 62787|NSC 65450|NSC 65455|Pelargate|Pelargic acid|pelargon|Pelargonate|Pelargonic acid|PELARGONIC-ACID, C9|PELARGONSAEURE|Pergonate|Pergonic acid|UNII-97SEH7577T",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021641,https://doi.org/10.22427/NTP-DATA-DTXSID3021641,1
skin_irritation_invivo_58,In Vivo,,,Octanoic acid,124-07-2,DTXSID3021645,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCC(O)=O,Octanoic acid,"124-07-2|Octanoic acid|1-Heptanecarboxylate|1-Heptanecarboxylic acid|4-02-00-00982|8:0|Acide octanoique|acido octanoico|Acidum octanocium|BRN 1747180|C8:0|Caprylate|Caprylic acid|CAPRYLIC-ACID, NATURAL|CAPRYLSAEURE|CH3-[CH2]6-COOH|Edenor C 8-98-100|EINECS 204-677-5|Emery 657|Enantic acid|FEMA No. 2799|Hexacid 898|Kaprylsaeure|Kortacid 0899|Kyselina kaprylova|Lunac 8-95|Lunac 8-98|N-Caprylate|n-Caprylic acid|N-Octanoate|n-Octanoic acid|N-Octoate|n-Octoic acid|N-Octylate|n-Octylic acid|Neo-Fat 8|Neo-Fat 8S|NSC 5024|Octansaeure|Octansaure|Octic acid|octoic acid|Octylate|Octylic acid|Prifac 2901|UNII-OBL58JN025|2171005-29-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021645,https://doi.org/10.22427/NTP-DATA-DTXSID3021645,1
skin_irritation_invivo_71,In Vivo,,,Sodium xylene sulfonate,1300-72-7,DTXSID3026302,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,"C*.C*.OS(=O)(=O)C1=CC=CC=C1 |c:8,10,t:6,lp:4:2,6:2,7:2,m:1:9.10,3:10.11.12.13|",Sodium xylenesulfonate,"1300-72-7|Sodium xylenesulfonate|Benzenesulfonic acid, dimethyl-, sodium salt|Benzenesulfonic acid, dimethyl-, sodium salt (1:1)|Caswell No. 799A|Conco SXS|Cyclophil SXS 30|Cyclophil sxs30|Dimethylbenzenesulfonic acid sodium salt|EINECS 215-090-9|Eltesol SX 30|Eltesol SX 93|EPA Pesticide Chemical Code 079019|Hydrotrope|Kemmat SN 18|Natriumxylolsulfonat|Naxonate|Naxonate 4L|Naxonate G|Naxonate SX|NCI-C55403|Richonate SXS|Sodium dimethylbenzenesulfonate|Sodium xylene sulfonate|sodium xylenesulphonate|Stepanate SXS|Stepanate X|Surco SXS|Ultrawet 40SX|UNII-G4LZF950UR|Witconate SXS|xilensulfonato de sodio|Xylenesulfonate de sodium|XYLENESULFONATE, SODIUM|Xylenesulfonic acid, sodium salt|39340-93-7",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3026302,https://doi.org/10.22427/NTP-DATA-DTXSID3026302,0
skin_irritation_invivo_42,In Vivo,,,Citronellol,106-22-9,DTXSID3026726,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(CCO)CCC=C(C)C,Citronellol,"106-22-9|Citronellol|(.+-.)-3,7-Dimethyl-6-octen-1-ol|(.+-.)-Citronellol|(.+-.)-b-Citronellol|2,3-Dihydrogeraniol|2,6-Dimethyl-2-octen-8-ol|3,7-Dimethyl-6-octen-1-ol|3,7-Dimethyloct-6-en-1-ol|4-01-00-02188|6-Octen-1-ol, 3,7-dimethyl-|beta-Citronellol|BRN 1721507|Cephrol|Citronellol 950|Citronellol, dl-|citronelol|Dihydrogeraniol|dl-Citronellol|EINECS 203-375-0|EINECS 247-737-6|Elenol|NSC 8779|OCT-6-EN-1-OL, 3,7-DIMETHYL-, (+-)-|Rhodinol|Rodinol|UNII-565OK72VNF|b-Citronellol|1335-43-9|26489-01-0",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3026726,https://doi.org/10.22427/NTP-DATA-DTXSID3026726,0
skin_irritation_invivo_25,In Vivo,,,Hydrogenated tallow amine,61788-45-2,DTXSID3028053,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,"Amines, hydrogenated tallow alkyl","61788-45-2|Amines, hydrogenated tallow alkyl|EINECS 262-976-6|52953-83-0|54385-93-2|54693-04-8|56572-34-0|8031-10-5|8035-05-0|8035-06-1",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3028053,,1
skin_irritation_invivo_66,In Vivo,,,Sodium percarbonate,15630-89-4,DTXSID3029736,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].[Na+].[Na+].[Na+].OO.OO.OO.[O-]C([O-])=O.[O-]C([O-])=O,"Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)","15630-89-4|Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)|239-707-6|BIOXY S|BIOXY S NEW|Carbonate de disodium, compose avec le peroxyde d'hydrogene(2:3)|carbonate de disodium, compose avec peroxyde d'hydrogene(2:3)|carbonato de disodio, composto con peroxido de hidrogeno(2:3)|Carbonic acid disodium salt, compd. with hydrogen peroxide|CARBONIC ACID DISODIUM SALT, COMPOUND, WITH HYDROGEN PEROXIDE|Carbonic acid sodium salt (1:2), compd. with hydrogen peroxide (H2O2) (2:3)|Carbonic acid, disodium salt, compd. with hydrogen peroxide (2:3)|Carbonic acid, disodium salt, compound with hydrogen peroxide|Dinatriumcarbonat, Verbindung mit Hydrogenperoxid(2:3)|Disodium carbonate compd. with hydrogen peroxide (2:3)|Disodium carbonate compd. with hydrogen peroxide (Na2CO3.1.5 H2O2)|Disodium carbonate sesquiperoxide|Disodium carbonate, compd. with hydrogen peroxide (2:3)|Disodium carbonate, compound with hydrogen peroxide (2:3)|Disodium carbonate, hydrogen peroxide (2:3)|EC No.: 239-707-6|EINECS 239-707-6|FB Sodium Percarbonate|NATRIUMPERCARBONAT|OxiClean|Oxyper S 131|Oxyper S 142|1161851-82-6|121525-84-6|1226792-00-2|205368-25-8|701915-52-8|701915-53-9|726171-65-9|81677-18-1|82728-90-3|861998-94-9|89140-31-8|90569-69-0",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3029736,,0
